City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
mezen,65.85,44.24,51.37,87,59,6.73,RU,1594955335
ambon,-3.7,128.18,82.4,83,75,6.93,ID,1594955344
monrovia,6.3,-10.8,76.05,75,100,5.73,LR,1594955823
husavik,66.04,-17.34,48.2,87,90,23.04,IS,1594955128
caravelas,-17.71,-39.25,70.75,77,19,8.41,BR,1594955350
muros,42.78,-9.06,64.99,66,98,15.99,ES,1594955663
kathu,7.92,98.33,87.8,66,40,3.36,TH,1594955823
arkhipo-osipovka,44.37,38.52,70.88,77,100,3.94,RU,1594955823
yerbogachen,61.28,108.01,53.6,84,99,8.39,RU,1594955337
kizilskoye,52.73,58.89,73.26,55,0,3.4,RU,1594955823
douentza,15.0,-2.95,85.39,53,48,5.91,ML,1594955823
karpogory,64.0,44.45,52.43,92,85,4.76,RU,1594955823
talnakh,69.49,88.4,50.0,76,75,20.13,RU,1594955098
waitati,-45.75,170.57,46.99,75,35,37.0,NZ,1594955823
mormugao,15.4,73.8,77.0,100,90,5.82,IN,1594955824
kisangani,0.52,25.2,71.96,92,99,1.57,CD,1594955335
smithers,54.78,-127.17,62.6,63,75,8.05,CA,1594955330
susanville,40.42,-120.65,89.6,14,1,11.41,US,1594955824
arinos,-15.92,-46.11,63.48,62,26,0.58,BR,1594955824
